id,listing,link,mileage,price,is_hybrid,date_found,price_num,mileage_num,year,days_on_market,hybrid_from_text
144,2022 Ford Maverick,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12613780,,"$30,680",False,2025-07-22,30680,,2022,20,False
145,FORD MAVERICK XLT AWD 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12472094,30,"$39,995",False,2025-07-22,39995,30,2023,20,False
146,Ford MavericK XLT FWD 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12581292,149,"$42,995",False,2025-07-22,42995,149,2023,20,False
147,GANGA***FORD MAVERICK|2022|16K MILLAS**,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12564923,,"$29,990",False,2025-07-22,29990,,2022,20,False
148,Ford Maverick XLT FX4 Off-Road 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12559006,64,"$39,600",False,2025-07-22,39600,64,2023,20,False
149,Ford Maverick Lariat AWD 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12546520,15449,"$34,990",False,2025-07-22,34990,15449,2022,20,False
150,2022 Ford Maverick XLT Lariat FX4,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12524370,24469,"$38,995",False,2025-07-22,38995,24469,2022,20,False
151,•••••FORD MAVERICK•••••,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12472709,,"$18,900",False,2025-07-22,18900,,,20,False
152,2023 FORD MAVERICK XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12433814,899,"$39,995",False,2025-07-22,39995,899,2023,20,False
153,POLARIS CAN-NAM MAVERICK X TURBO RR,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12398011,657,"$39,995",False,2025-07-22,39995,657,,20,False
154,2023 FORD MAVERICK XLT PREOWNED,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12413468,599,"$39,995",False,2025-07-22,39995,599,2023,20,False
155,2023 Ford Mavericks XLT PKG- CERTIFICADA,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12732407,23683,"$30,900",False,2025-07-22,30900,23683,2023,20,False
156,MAVERIK XL 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12699462,12,"$31,995",False,2025-07-22,31995,12,2024,20,False
157,MAVERIK XL HYBRID 2025,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12733901,,"$36,991",True,2025-07-22,36991,,2025,20,True
158,Maveric 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12740016,5994,"$27,995",False,2025-07-22,27995,5994,2023,20,False
159,FORD MAVRICK CON CANOPY,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12739626,11,"$34,900",False,2025-07-22,34900,11,,20,False
160,FORD MAVERICKS,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12763913,28847,"$30,995",False,2025-07-22,30995,28847,,20,False
161,MAVERIK XL HYBRID 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12631710,14,"$29,891",True,2025-07-22,29891,14,2024,20,True
162,FORD MAVERIC XLT NIGHT PACKAGE 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12756749,7830,"$33,995",False,2025-07-22,33995,7830,2023,20,False
163,Ford Maverik XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12759209,10756,"$32,998",False,2025-07-22,32998,10756,2022,20,False
164,MAVERIC LARIAT 4X4 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12774630,37000,"$37,995",False,2025-07-22,37995,37000,2022,20,False
165,MAVERICKS,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12770656,,"$35,995",False,2025-07-22,35995,,,20,False
166,Ford Maverik XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12761953,10754,"$32,998",False,2025-07-22,32998,10754,2022,20,False
167,MAVERIC LX,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12759635,21293,"$30,000",False,2025-07-22,30000,21293,,20,False
168,2022 FORD MAVERIC LARIAT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12743211,34557,"$36,995",False,2025-07-22,36995,34557,2022,20,False
169,FORD MAVERICKS,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12524337,,"$29,995",False,2025-07-22,29995,,,20,False
170,•••••FORD MAVERICKS XL•••••,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12469505,,"$19,900",False,2025-07-22,19900,,,20,False
171,2022 FORD MAVERIC XLT 4 PTAS FULL POWER,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12689049,13386,"$27,500",False,2025-07-22,27500,13386,2022,20,False
172,FORD MAVERICK 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12777021,14451,,False,2025-07-22,,14451,2023,20,False
173,Ford Maverick 2025 LOBO Oxfordwhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788713,,,False,2025-07-22,,,2025,20,False
174,Ford Maverick 2025 XLT FX-4 Oxfordwhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788708,,,False,2025-07-22,,,2025,20,False
175,Ford Maverick 2025 LOBO ShadowBlack,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788703,,,False,2025-07-22,,,2025,20,False
176,Ford Maverick 2025 XLT FX-4 ShadowBlack,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788701,,,False,2025-07-22,,,2025,20,False
177,Ford Maverick 2025 Tremor AzurreGray,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788696,,,False,2025-07-22,,,2025,20,False
178,Ford Maverick 2025 XLT FX-4 Terrain,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788694,,,False,2025-07-22,,,2025,20,False
179,Ford Maverick 2025 LOBO VelocityBlue,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788481,,,False,2025-07-22,,,2025,20,False
180,Ford Maverick 2025 XLT Tremor Terrain,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788476,,,False,2025-07-22,,,2025,20,False
181,Ford Maverick 2025 XLT Tremor SpaceWhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788472,,,False,2025-07-22,,,2025,20,False
182,Ford Maverick 2025 XLT FX-4 CarbonizeGray,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788459,,,False,2025-07-22,,,2025,20,False
183,Ford Maverick 2025 XLT AWD Erupcióngreen,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788446,,,False,2025-07-22,,,2025,20,False
184,Ford Maverick 2025 XLT AWD Oxfordwhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788445,,,False,2025-07-22,,,2025,20,False
185,Ford Maverick 2025 XLT AWD ShadowBlack,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788386,,,False,2025-07-22,,,2025,20,False
186,Ford Maverick 2025 XLT AWD AzurreGray,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788382,,,False,2025-07-22,,,2025,20,False
187,Ford Maverick 2025 XLT AWD Terrain,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788373,,,False,2025-07-22,,,2025,20,False
188,Ford Maverick 2025 XLT AWD SpaceWhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788370,,,False,2025-07-22,,,2025,20,False
189,FORD  MAVERICK HIBRID 5000 DE BONO,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12679245,11,,True,2025-07-22,,11,,20,True
190,FORD MAVERICK FX4 OFF-ROAD 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12785266,44000,,False,2025-07-22,,44000,2022,20,False
191,FORD MAVERICK AÑO 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12785156,0,,False,2025-07-22,,0,2022,20,False
192,2022 FORD MAVERICK FX4 OFF ROAD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12782783,44000,,False,2025-07-22,,44000,2022,20,False
193,Ford Maverick 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12781619,10855,,False,2025-07-22,,10855,2023,20,False
194,Ford Maverick Lariat AWD 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12778970,,,False,2025-07-22,,,2022,20,False
195,FORD MAVERICK SOLO 7206 MILLAS,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12777679,7206,,False,2025-07-22,,7206,,20,False
196,FORD MAVERICK XL 2024 POCO MILLAJE,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12766000,7506,,False,2025-07-22,,7506,2024,20,False
197,FORD MAVERICK 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12773676,19000,,False,2025-07-22,,19000,2022,20,False
198,FORD MAVERICK 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12773054,19531,,False,2025-07-22,,19531,2023,20,False
199,Ford Maverick 2024 XLT Hybrida Oxfordwhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12678983,,,True,2025-07-22,,,2024,20,True
200,2023 Ford Maverick XLT  Tremor,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12772744,19531,,False,2025-07-22,,19531,2023,20,False
201,2023 Ford Maverick XLT AWD TREMOR,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12769823,19531,,False,2025-07-22,,19531,2023,20,False
202,2023 FORD MAVERICK XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12769841,,,False,2025-07-22,,,2023,20,False
203,Maverick XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12768998,42000,,False,2025-07-22,,42000,,20,False
204,FORD MAVERICK 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12738434,13432,,False,2025-07-22,,13432,2023,20,False
205,2022 Ford Maverick Lariat FX4 Off Road – AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12750525,19004,,False,2025-07-22,,19004,2022,20,False
206,FORD MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12703362,,,False,2025-07-22,,,2022,20,False
207,Ford Maverick XLT AWD 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12632746,12000,,False,2025-07-22,,12000,2023,20,False
208,2024 Ford Maverick XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12564654,1853,,False,2025-07-22,,1853,2024,20,False
209,Ford Maverick 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12725924,6693,,False,2025-07-22,,6693,2022,20,False
210,Ford Maverick 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12701385,,,False,2025-07-22,,,2024,20,False
211,2022 Ford Maverick XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12685048,,,False,2025-07-22,,,2022,20,False
212,2023 FORD MAVERICK XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12697660,13000,,False,2025-07-22,,13000,2023,20,False
213,FORD MAVERICK XLT 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12558165,1250,,False,2025-07-22,,1250,2024,20,False
214,FORD MAVERICK XLT AWD 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12478272,,,False,2025-07-22,,,2023,20,False
215,FORD MAVERICK XLT SUPERCREW AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12515426,27190,,False,2025-07-22,,27190,,20,False
216,FORD MAVERICK XLT 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12455343,,,False,2025-07-22,,,2023,20,False
217,FORD MAVERICK XL 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12455337,3003,,False,2025-07-22,,3003,2023,20,False
218,FORD MAVERICK XL 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12454398,3001,,False,2025-07-22,,3001,2023,20,False
219,FORD MAVERICK XLT 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12389701,854,,False,2025-07-22,,854,2023,20,False
220,Ford Maverick XL FWD 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12157589,11646,,False,2025-07-22,,11646,2022,20,False
221,FORD MAVERICK XL 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12438892,2993,,False,2025-07-22,,2993,2023,20,False
222,FORD MAVERICK XLT AWD 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12414668,,,False,2025-07-22,,,2023,20,False
223,Maverick 2024 XLT Super Nueva,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12789764,269,"$35,500",False,2025-07-23,35500,269,2024,19,False
224,2022 FORD MAVERICK XLT FX4,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12789719,44005,"$30,995",False,2025-07-23,30995,44005,2022,19,False
225,FORD MAVERICK XL AWD 2025,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12789705,5,,False,2025-07-23,,5,2025,19,False
226,2022 FORD MAVERICK FX-2,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12789358,23336,"$33,995",False,2025-07-23,33995,23336,2022,19,False
227,2022 FORD MAVERICK,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12789341,28428,"$30,995",False,2025-07-23,30995,28428,2022,19,False
228,Ford Maverick 2024 XLT ShadowBlack,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12789336,,"$32,987",False,2025-07-23,32987,,2024,19,False
229,FORD MAVERICK XL,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12789276,9,"$34,995",False,2025-07-23,34995,9,,19,False
230,FORD MAVERICK XLT 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12764471,6986,"$34,995",False,2025-07-23,34995,6986,2023,19,False
231,Ford Mavericks XLT  2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12778695,19531,,False,2025-07-23,,19531,2023,19,False
232,2023 FORD MAVERICK XLT AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12803619,17000,"$32,990",False,2025-08-10,32990,17000,2023,1,False
233,2023 FORD MAVERICK XLT AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12804500,17000,"$32,880",False,2025-08-10,32880,17000,2023,1,False
234,NUEVA Ford Maverick XLT 2024 LIQUIDACIÓN,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12804100,0,"$30,995",False,2025-08-10,30995,0,2024,1,False
235,FORD MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12796093,36944,"$27,995",False,2025-08-10,27995,36944,2022,1,False
236,FORD MAVERICK XL EQUIPADA,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12795323,8,"$27,095",False,2025-08-10,27095,8,,1,False
237,FORD MAVERICK 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12804322,65000,"$123,456",False,2025-08-10,123456,65000,2022,1,False
238,NUEVA Ford Maverick XLT 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12803362,0,"$31,495",False,2025-08-10,31495,0,2024,1,False
239,Ford Maverick 2024 XL Hybrida ShadowBlack,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12797667,,"$30,989",True,2025-08-10,30989,,2024,1,True
240,FORD MAVERICK XLT 2022 | PRECIO NEGOCIABLE $$,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12797822,27,"$28,995",False,2025-08-10,28995,27,2022,1,False
241,2023 FORD MAVERICK XLT AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12803776,17000,"$32,990",False,2025-08-10,32990,17000,2023,1,False
242,FORD MAVERICK XLT AWD 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12800014,21300,"$33,995",False,2025-08-10,33995,21300,2023,1,False
243,2022 FORD MAVERICK XLT!!,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12803667,,"$32,890",False,2025-08-10,32890,,2022,1,False
244,Ford Maverick XLT AWD 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12803612,17000,"$32,990",False,2025-08-10,32990,17000,2023,1,False
245,2023 Ford Maverick XLT AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12803607,17011,"$32,890",False,2025-08-10,32890,17011,2023,1,False
246,FORD MAVERICK 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12799999,65000,"$25,995",False,2025-08-10,25995,65000,2022,1,False
247,Ford Maverick XLE 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12802877,24012,"$23,994",False,2025-08-10,23994,24012,2022,1,False
248,Ford Maverick 2024 XLT Iconic Silver,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12800156,,"$32,987",False,2025-08-10,32987,,2024,1,False
249,Ford Maverick XLT 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12802737,7800,"$36,995",False,2025-08-10,36995,7800,2023,1,False
250,Ford Maverick 2022 XLT FX4 AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12802688,14683,"$31,990",False,2025-08-10,31990,14683,2022,1,False
251,FORD MAVERICK XLT 2022(SOLO 16K MILLAS),https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12802306,38304,"$29,995",False,2025-08-10,29995,38304,2022,1,False
252,Ford Maverick 2022 XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12800353,31027,"$27,990",False,2025-08-10,27990,31027,2022,1,False
253,Maverick XLT. Garantia de fabrica.,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12796736,36950,"$26,900",False,2025-08-10,26900,36950,,1,False
254,Ford Maverick XLT Hybrid 2025,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12802019,,"$38,990",True,2025-08-10,38990,,2025,1,True
255,Ford Maverick XLT AWD Black Pkg 2025,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12801915,0,"$43,995",False,2025-08-10,43995,0,2025,1,False
256,Ford Maverick 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12801891,30000,"$25,995",False,2025-08-10,25995,30000,2022,1,False
257,Ford Maverick XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12801763,10912,"$37,995",False,2025-08-10,37995,10912,,1,False
258,FORD MAVERICK XLT HÍBRIDA 2024 NUEVA,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12801663,5,"$32,995",True,2025-08-10,32995,5,2024,1,True
259,FORD MAVERICK XL,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12794973,9,"$34,500",False,2025-08-10,34500,9,,1,False
260,FORD MAVERICK XLT AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12801591,,"$32,995",False,2025-08-10,32995,,,1,False
261,Maverick 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12801196,17359,"$27,995",False,2025-08-10,27995,17359,2023,1,False
262,Ford Maverick XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12800939,32398,"$33,995",False,2025-08-10,33995,32398,2022,1,False
263,FORD MAVERICK XLT 2022 DOB.CABINA !,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12800631,37000,"$28,949",False,2025-08-10,28949,37000,2022,1,False
264,FORD MAVERICK XL 2023 DOB.CABINA!,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12800630,32000,"$26,995",False,2025-08-10,26995,32000,2023,1,False
265,MAVERICK XLT FX4 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12799919,16620,"$34,999",False,2025-08-10,34999,16620,2022,1,False
266,MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12799912,35503,"$29,999",False,2025-08-10,29999,35503,2022,1,False
267,FORD MAVERICK XL HYBRID 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12799603,7,"$34,995",True,2025-08-10,34995,7,2024,1,True
268,FORD MAVERICK 2023 AWD XLT!!!!!,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12798708,22500,"$32,995",False,2025-08-10,32995,22500,2023,1,False
269,MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12798638,29489,"$29,999",False,2025-08-10,29999,29489,2022,1,False
270,MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12798630,30977,"$29,999",False,2025-08-10,29999,30977,2022,1,False
271,FORD MAVERICK XLT 2022 #6029,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12797526,,"$29,999",False,2025-08-10,29999,,2022,1,False
272,MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12797462,54664,"$29,999",False,2025-08-10,29999,54664,2022,1,False
273,FORD MAVERICK FX4 XLT 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12796825,10470,"$37,995",False,2025-08-10,37995,10470,2023,1,False
274,FORD MAVERICK FX4 XLT AWD 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12796449,10360,"$35,995",False,2025-08-10,35995,10360,2023,1,False
275,FORD MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12715224,77,"$24,995",False,2025-08-10,24995,77,2022,1,False
276,2022 MAVERICK XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12795019,0,"$26,995",False,2025-08-10,26995,0,2022,1,False
277,FORD MAVERICK XLT AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12793179,7,"$32,995",False,2025-08-10,32995,7,,1,False
278,FORD MAVERICK XLT 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12793307,7914,"$33,995",False,2025-08-10,33995,7914,2023,1,False
279,Ford Maverick 2022 Lariat,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12791258,37994,"$32,775",False,2025-08-10,32775,37994,2022,1,False
280,Bono 3000 Ford Maverick XLT 33762.,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12680866,10,"$33,762",False,2025-08-10,33762,10,,1,False
281,FORD MAVERICK XLT SUPERCREW 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12683063,23019,"$31,995",False,2025-08-10,31995,23019,2022,1,False
282,FORD MAVERICK 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12633174,28898,"$26,995",False,2025-08-10,26995,28898,2022,1,False
283,Ford Maverick XLT 32265. Premium 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12586505,10,"$32,265",False,2025-08-10,32265,10,2024,1,False
284,Ford Maverick 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12614960,,"$27,995",False,2025-08-10,27995,,2022,1,False
285,FORD MAVERICK 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12606394,28886,"$27,995",False,2025-08-10,27995,28886,2022,1,False
286,FORD MAVERICK XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12804033,17740,,False,2025-08-10,,17740,,1,False
287,FORD MAVERICK XL AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12797387,,,False,2025-08-10,,,,1,False
288,2022 FORD MAVERICK,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12803245,65000,,False,2025-08-10,,65000,2022,1,False
289,FORD MAVERICK 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12790617,34056,,False,2025-08-10,,34056,2022,1,False
290,FORD MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12801149,65459,,False,2025-08-10,,65459,2022,1,False
291,FORD MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12801110,65459,,False,2025-08-10,,65459,2022,1,False
292,2022 FORD MAVERICK XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12801046,65459,,False,2025-08-10,,65459,2022,1,False
293,2023 Ford Maverick XLT AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12797407,10800,,False,2025-08-10,,10800,2023,1,False
294,FORD MAVERICK FX4 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12791221,44006,,False,2025-08-10,,44006,2022,1,False
295,FORD MAVERICK 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12790472,,,False,2025-08-10,,,2022,1,False
296,MAVERICK SOLO 10K MILLAS NEGOCIABLE,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12518284,10310,,False,2025-08-10,,10310,,1,False
